UniprotAcc,UniprotName,HGNC
Q9Y2T5,GPR52_HUMAN,GPR52
Q9BXA5,SUCR1_HUMAN,SUCNR1
Q96P68,OXGR1_HUMAN,OXGR1
P08908,5HT1A_HUMAN,HTR1A
P28222,5HT1B_HUMAN,HTR1B
P28221,5HT1D_HUMAN,HTR1D
P28566,5HT1E_HUMAN,HTR1E
P30939,5HT1F_HUMAN,HTR1F
P28223,5HT2A_HUMAN,HTR2A
P41595,5HT2B_HUMAN,HTR2B
P28335,5HT2C_HUMAN,HTR2C
Q13639,5HT4R_HUMAN,HTR4
P47898,5HT5A_HUMAN,HTR5A
P50406,5HT6R_HUMAN,HTR6
P34969,5HT7R_HUMAN,HTR7
P30542,AA1R_HUMAN,ADORA1
P29274,AA2AR_HUMAN,ADORA2A
P29275,AA2BR_HUMAN,ADORA2B
P0DMS8,AA3R_HUMAN,ADORA3
P35348,ADA1A_HUMAN,ADRA1A
P35368,ADA1B_HUMAN,ADRA1B
P25100,ADA1D_HUMAN,ADRA1D
P08913,ADA2A_HUMAN,ADRA2A
P18089,ADA2B_HUMAN,ADRA2B
P18825,ADA2C_HUMAN,ADRA2C
P08588,ADRB1_HUMAN,ADRB1
P07550,ADRB2_HUMAN,ADRB2
P13945,ADRB3_HUMAN,ADRB3
P21728,DRD1_HUMAN,DRD1
P14416,DRD2_HUMAN,DRD2
P35462,DRD3_HUMAN,DRD3
P21917,DRD4_HUMAN,DRD4
P21918,DRD5_HUMAN,DRD5
P11229,ACM1_HUMAN,CHRM1
P08172,ACM2_HUMAN,CHRM2
P20309,ACM3_HUMAN,CHRM3
P08173,ACM4_HUMAN,CHRM4
P08912,ACM5_HUMAN,CHRM5
P35367,HRH1_HUMAN,HRH1
P25021,HRH2_HUMAN,HRH2
Q9Y5N1,HRH3_HUMAN,HRH3
P47211,GALR1_HUMAN,GALR1
O60755,GALR3_HUMAN,GALR3
P48039,MTR1A_HUMAN,MTNR1A
P49286,MTR1B_HUMAN,MTNR1B
P21554,CNR1_HUMAN,CNR1
P35372,OPRM_HUMAN,OPRM1
P41143,OPRD_HUMAN,OPRD1
P41145,OPRK_HUMAN,OPRK1
P25101,EDNRA_HUMAN,EDNRA
P24530,EDNRB_HUMAN,EDNRB
P30550,GRPR_HUMAN,GRPR
P35414,APJ_HUMAN,APLNR
P32247,BRS3_HUMAN,BRS3
P37288,V1AR_HUMAN,AVPR1A
P47901,V1BR_HUMAN,AVPR1B
P30518,V2R_HUMAN,AVPR2
P30411,BKRB2_HUMAN,BDKRB2
Q01726,MSHR_HUMAN,MC1R
P41968,MC3R_HUMAN,MC3R
P32245,MC4R_HUMAN,MC4R
P33032,MC5R_HUMAN,MC5R
Q9GZQ6,NPFF1_HUMAN,NPFFR1
P25929,NPY1R_HUMAN,NPY1R
P49146,NPY2R_HUMAN,NPY2R
P50391,NPY4R_HUMAN,NPY4R
Q15761,NPY5R_HUMAN,NPY5R
P25103,NK1R_HUMAN,TACR1
P21452,NK2R_HUMAN,TACR2
P29371,NK3R_HUMAN,TACR3
P34995,PE2R1_HUMAN,PTGER1
P43116,PE2R2_HUMAN,PTGER2
P43115,PE2R3_HUMAN,PTGER3
P35408,PE2R4_HUMAN,PTGER4
Q13258,PD2R_HUMAN,PTGDR
Q9Y5Y4,PD2R2_HUMAN,PTGDR2
P21731,TA2R_HUMAN,TBXA2R
O14842,FFAR1_HUMAN,FFAR1
Q5NUL3,FFAR4_HUMAN,FFAR4
Q92633,LPAR1_HUMAN,LPAR1
Q9HBW0,LPAR2_HUMAN,LPAR2
Q9UBY5,LPAR3_HUMAN,LPAR3
P30989,NTR1_HUMAN,NTSR1
O43613,OX1R_HUMAN,HCRTR1
O43614,OX2R_HUMAN,HCRTR2
P30559,OXYR_HUMAN,OXTR
P32238,CCKAR_HUMAN,CCKAR
P32239,GASR_HUMAN,CCKBR
P61073,CXCR4_HUMAN,CXCR4
P30872,SSR1_HUMAN,SSTR1
P30874,SSR2_HUMAN,SSTR2
P32745,SSR3_HUMAN,SSTR3
P31391,SSR4_HUMAN,SSTR4
P35346,SSR5_HUMAN,SSTR5
Q969F8,KISSR_HUMAN,KISS1R
P47871,GLR_HUMAN,GCGR
P43220,GLP1R_HUMAN,GLP1R
O95838,GLP2R_HUMAN,GLP2R
P47872,SCTR_HUMAN,SCTR
P30988,CALCR_HUMAN,CALCR
Q03431,PTH1R_HUMAN,PTH1R
P49190,PTH2R_HUMAN,PTH2R
P32241,VIPR1_HUMAN,VIPR1
P41587,VIPR2_HUMAN,VIPR2
P41586,PACR_HUMAN,PACAPR
Q14416,GRM2_HUMAN,GRM2
Q14832,GRM3_HUMAN,GRM3
Q14833,GRM4_HUMAN,GRM4
O15303,GRM6_HUMAN,GRM6
Q14831,GRM7_HUMAN,GRM7
O00222,GRM8_HUMAN,GRM8
Q9UBS5,GABR1_HUMAN,GABBR1
